condition,RNAP,Ribo,load,N,T_end,window_start,window_end,mean,sd,CV,CV2
Cond3,20,50,0,500,4000,3000,4000,13.322875124875125,1.454323808598946,0.10915990692456314,0.011915885279779288
Cond3,20,100,0,500,4000,3000,4000,14.609836163836164,1.592253210780005,0.10898501481634142,0.011877733454518157
Cond3,20,200,0,500,4000,3000,4000,15.158563436563435,1.620549204155831,0.10690651597281055,0.011429003157444797
Cond3,20,300,0,500,4000,3000,4000,15.40864935064935,1.5209304804473363,0.09870628150696682,0.00974293000893258
Cond3,20,400,0,500,4000,3000,4000,15.51591808191808,1.4908753229153053,0.09608682612553489,0.009232678154878774
Cond3,20,500,0,500,4000,3000,4000,15.687128871128873,1.6069249827343615,0.10243588842390407,0.010493111237194524
Cond3,35,50,0,500,4000,3000,4000,21.551256743256744,1.8188485508211782,0.08439640307242337,0.0071227528515629525
Cond3,35,100,0,500,4000,3000,4000,23.522867132867134,1.9125680492201218,0.08130675731054067,0.006610788784355158
Cond3,35,200,0,500,4000,3000,4000,24.704397602397602,1.9490212347138487,0.07889369601648141,0.006224215271140975
Cond3,35,300,0,500,4000,3000,4000,25.17248751248751,1.9391672441614576,0.07703518546585751,0.005934419799759064
Cond3,35,400,0,500,4000,3000,4000,25.50251948051948,2.0200239146574006,0.07920879802485511,0.006274033684542292
Cond3,35,500,0,500,4000,3000,4000,25.503820179820178,1.9889926273340357,0.07798802741354882,0.006082132419856443
Cond3,50,50,0,500,4000,3000,4000,28.8712027972028,2.1594459982315892,0.07479584461374807,0.0055944183714839455
Cond3,50,100,0,500,4000,3000,4000,31.651264735264736,2.2882686411395365,0.07229627821443822,0.005226751843659455
Cond3,50,200,0,500,4000,3000,4000,32.87433566433566,2.3544340108649155,0.07161921186499191,0.005129311508162598
Cond3,50,300,0,500,4000,3000,4000,33.63235964035964,2.4249041053073017,0.07210032632968633,0.00519845705684726
Cond3,50,400,0,500,4000,3000,4000,33.84423976023975,2.2801303544059492,0.06737129776171391,0.004538891762097518
Cond3,50,500,0,500,4000,3000,4000,33.86011188811189,2.355048629830013,0.069552299106751,0.004837522311034955
Cond3,75,50,0,500,4000,3000,4000,38.9589050949051,2.4120259040299747,0.061912055745771216,0.0038331026466674827
Cond3,75,100,0,500,4000,3000,4000,42.52705894105894,2.597635331654957,0.06108194162345418,0.003731003592491064
Cond3,75,200,0,500,4000,3000,4000,44.323494505494516,2.650180526638069,0.05979177761603481,0.0035750566704853613
Cond3,75,300,0,500,4000,3000,4000,45.334311688311686,2.665715444113868,0.058801277549806845,0.0034575902414894183
Cond3,75,400,0,500,4000,3000,4000,45.65458341658341,2.7253706667476245,0.05969544485554698,0.0035635461365016506
Cond3,75,500,0,500,4000,3000,4000,45.80156043956044,2.7573240701926647,0.060201531208335546,0.0036242243598281986
Cond3,100,50,0,500,4000,3000,4000,46.76284515484515,2.816453192360544,0.060228439544994794,0.003627464930025093
Cond3,100,100,0,500,4000,3000,4000,51.28781018981019,2.755966439384731,0.05373531116234485,0.0028874836657140227
Cond3,100,200,0,500,4000,3000,4000,53.94139060939061,2.990960041857806,0.05544833027232176,0.0030745173299884737
Cond3,100,300,0,500,4000,3000,4000,54.4660959040959,2.942870457327717,0.05403123555081925,0.002919374415148114
Cond3,100,400,0,500,4000,3000,4000,55.313932067932065,3.098036530282967,0.056008249901276425,0.0031369240570038306
Cond3,100,500,0,500,4000,3000,4000,55.473770229770224,2.806422397130393,0.050590078617449276,0.0025593560545196983
Cond3,150,50,0,500,4000,3000,4000,59.2425954045954,3.2066109725913097,0.05412678075111097,0.0029297083944788372
Cond3,150,100,0,500,4000,3000,4000,64.8217982017982,3.348092466993967,0.051650718737714506,0.0026677967461224924
Cond3,150,200,0,500,4000,3000,4000,67.68595404595405,3.3775254590112618,0.04989994610577783,0.002490004621359532
Cond3,150,300,0,500,4000,3000,4000,69.20727272727274,3.443676158949775,0.04975887682383291,0.0024759458227693763
Cond3,150,400,0,500,4000,3000,4000,69.45276523476525,3.6732545601346276,0.052888528595200476,0.0027971964569653385
Cond3,150,500,0,500,4000,3000,4000,70.16969630369631,3.5459111566276835,0.05053336900990544,0.0025536213834912716
Cond3,200,50,0,500,4000,3000,4000,68.22638761238761,3.5618740937794344,0.05220669331073771,0.0027255388264414257
Cond3,200,100,0,500,4000,3000,4000,74.58905894105894,3.9156175602679286,0.05249587025038204,0.0027558163933449464
Cond3,200,200,0,500,4000,3000,4000,78.1897922077922,3.7380441229300905,0.047807316241436006,0.002285539486208671
Cond3,200,300,0,500,4000,3000,4000,79.48347852147852,4.133183407881212,0.052000535013881126,0.002704055641729877
Cond3,200,400,0,500,4000,3000,4000,80.53195804195805,3.994825512774506,0.04960546856060742,0.0024607025111174114
Cond3,200,500,0,500,4000,3000,4000,80.7343996003996,4.051077760641907,0.0501778396903054,0.0025178155959859876
